State,StateAbbreviation,Pop,Pop-millions
Arizona,AZ,7278717,7.278717
California,CA,39512223,39.512223
Florida,FL,21477737,21.477737
Georgia,GA,10617423,10.617423
Illinois,IL,12671821,12.671821
Massachusetts,MA,6949503,6.949503
Michigan,MI,9986857,9.986857
New Jersey,NJ,8882190,8.88219
New York,NY,19453561,19.453561
North Carolina,NC,10488084,10.488084
Ohio,OH,11689100,11.6891
Pennsylvania,PA,12801989,12.801989
Texas,TX,28995881,28.995881
Virginia,VA,8535519,8.535519
Washington,WA,7614893,7.614893
